,Date,CementType,Quantity In Quintal
0,1,1,1800.0
1,2,1,1500.0
2,3,1,1200.0
3,4,1,1150.0
4,5,1,1160.0
5,6,1,1033.3333333333333
6,7,1,1057.142857142857
7,8,1,1525.0
8,9,1,1400.0
9,10,1,1340.0
10,11,1,1254.5454545454545
11,12,1,1250.0
12,13,1,1338.4615384615386
13,14,1,1271.4285714285713
14,15,1,1213.3333333333333
15,16,1,1162.5
16,17,1,1152.9411764705883
17,18,1,1155.5555555555557
18,19,1,1115.7894736842106
19,20,1,1080.0
20,21,1,1054.7619047619048
21,22,1,1461.3636363636363
22,23,1,1432.608695652174
23,24,1,1381.25
24,25,1,1358.0
25,26,1,1444.2307692307693
26,27,1,1457.4074074074074
27,28,1,1419.642857142857
28,29,1,1453.448275862069
29,30,1,1425.0
30,31,1,1391.9354838709678
31,32,1,1373.4375
32,33,1,1380.3030303030303
33,34,1,1345.5882352941176
34,35,1,1318.5714285714287
35,36,1,1381.9444444444443
36,37,1,1506.7567567567567
37,38,1,1477.6315789473683
38,39,1,1444.871794871795
39,40,1,1548.75
40,41,1,1548.75
41,42,1,1543.75
42,43,1,1563.75
43,44,1,1578.75
44,45,1,1593.75
45,46,1,1573.75
46,47,1,1573.75
47,48,1,1613.75
48,49,1,1573.75
49,50,1,1568.75
50,51,1,1558.75
51,52,1,1648.75
52,53,1,1633.75
53,54,1,1583.75
54,55,1,1583.75
55,56,1,1578.75
56,57,1,1648.75
57,58,1,1633.75
58,59,1,1738.75
59,60,1,1738.75
60,61,1,1778.75
61,62,1,1775.0
62,63,1,1590.0
63,64,1,1700.0
64,65,1,1715.0
65,66,1,1835.0
66,67,1,1755.0
67,68,1,1715.0
68,69,1,1775.0
69,70,1,1745.0
70,71,1,1740.0
71,72,1,1740.0
72,73,1,1730.0
73,74,1,1790.0
74,75,1,1795.0
75,76,1,1850.0
76,77,1,1770.0
77,78,1,1670.0
78,79,1,1670.0
79,80,1,1725.0
80,81,1,1590.0
81,82,1,1580.0
82,83,1,1550.0
83,84,1,1630.0
84,85,1,1605.0
