,Date,CementType,Quantity In Quintal
0,1,2,400.0
1,2,2,1000.0
2,3,2,800.0
3,4,2,800.0
4,5,2,720.0
5,6,2,733.3333333333334
6,7,2,800.0
7,8,2,800.0
8,9,2,755.5555555555555
9,10,2,720.0
10,11,2,690.9090909090909
11,12,2,866.6666666666666
12,13,2,861.5384615384615
13,14,2,914.2857142857143
14,15,2,906.6666666666666
15,16,2,925.0
16,17,2,1058.8235294117646
17,18,2,1044.4444444444443
18,19,2,1031.578947368421
19,20,2,1020.0
20,21,2,1009.5238095238095
21,22,2,1000.0
22,23,2,1043.4782608695652
23,24,2,1033.3333333333333
24,25,2,1024.0
25,26,2,1030.7692307692307
26,27,2,1007.4074074074074
27,28,2,1000.0
28,29,2,1006.8965517241379
29,30,2,1240.0
30,31,2,1225.8064516129032
31,32,2,1212.5
32,33,2,1224.2424242424242
33,34,2,1305.8823529411766
34,35,2,1302.857142857143
35,36,2,1322.2222222222222
36,37,2,1448.6486486486488
37,38,2,1442.1052631578948
38,39,2,1435.8974358974358
39,40,2,1410.0
40,41,2,1410.0
41,42,2,2150.0
42,43,2,2120.0
43,44,2,2140.0
44,45,2,2220.0
45,46,2,2230.0
46,47,2,2250.0
47,48,2,2240.0
48,49,2,2320.0
49,50,2,2330.0
50,51,2,2410.0
51,52,2,2440.0
52,53,2,2400.0
53,54,2,2450.0
54,55,2,2510.0
55,56,2,3010.0
56,57,2,3080.0
57,58,2,3030.0
58,59,2,3030.0
59,60,2,3110.0
60,61,2,3120.0
61,62,2,3110.0
62,63,2,3110.0
63,64,2,3110.0
64,65,2,3120.0
65,66,2,3200.0
66,67,2,3240.0
67,68,2,3250.0
68,69,2,3260.0
69,70,2,3270.0
70,71,2,3170.0
71,72,2,3170.0
72,73,2,3160.0
73,74,2,3130.0
74,75,2,3050.0
75,76,2,3210.0
76,77,2,3200.0
77,78,2,3130.0
78,79,2,3130.0
79,80,2,3130.0
80,81,2,3220.0
81,82,2,3000.0
82,83,2,3030.0
83,84,2,3030.0
84,85,2,2990.0
85,86,2,3070.0
86,87,2,3060.0
87,88,2,3070.0
88,89,2,3000.0
89,90,2,3000.0
90,91,2,2940.0
91,92,2,2930.0
92,93,2,3100.0
93,94,2,3060.0
94,95,2,2990.0
95,96,2,2520.0
96,97,2,2470.0
97,98,2,2500.0
98,99,2,2500.0
99,100,2,2600.0
100,101,2,2630.0
101,102,2,2750.0
102,103,2,2770.0
103,104,2,2750.0
104,105,2,2730.0
105,106,2,2690.0
106,107,2,2680.0
107,108,2,2680.0
108,109,2,2700.0
109,110,2,2670.0
110,111,2,2590.0
111,112,2,3070.0
112,113,2,3170.0
113,114,2,3170.0
114,115,2,3183.0
115,116,2,3053.0
116,117,2,3123.0
117,118,2,3263.0
118,119,2,3333.0
119,120,2,3333.0
120,121,2,3283.0
121,122,2,3013.0
122,123,2,2983.0
123,124,2,3003.0
124,125,2,3043.0
125,126,2,2993.0
126,127,2,3213.0
127,128,2,3193.0
128,129,2,3308.0
129,130,2,3338.0
130,131,2,3318.0
131,132,2,3298.0
132,133,2,3128.0
133,134,2,3108.0
134,135,2,3293.0
135,136,2,3283.0
136,137,2,3413.0
137,138,2,3393.0
138,139,2,3498.0
139,140,2,3328.0
140,141,2,3288.0
141,142,2,3348.0
142,143,2,3623.0
143,144,2,3633.0
144,145,2,3758.0199999999995
145,146,2,3838.0199999999995
146,147,2,3808.0199999999995
147,148,2,3798.0199999999995
148,149,2,4098.01975
149,150,2,4098.01975
150,151,2,4178.0197499999995
151,152,2,3718.0197499999995
152,153,2,3628.0197500000004
153,154,2,3868.0197500000004
154,155,2,3855.0197499999995
155,156,2,3805.0197499999995
156,157,2,3745.0197500000004
157,158,2,3545.0197500000004
158,159,2,3455.0197499999995
159,160,2,3435.0197499999995
160,161,2,3445.0197500000004
161,162,2,3205.0197500000004
162,163,2,3308.24675
163,164,2,3430.74675
164,165,2,3530.74675
165,166,2,3620.74675
166,167,2,3545.74675
167,168,2,3565.74675
168,169,2,3560.74675
169,170,2,3635.74675
170,171,2,3645.74675
171,172,2,3655.74675
172,173,2,3657.3192500000005
173,174,2,3667.3192500000005
174,175,2,3522.3192500000005
175,176,2,3582.3192500000005
176,177,2,3512.3192500000005
177,178,2,3887.59925
178,179,2,3882.59925
179,180,2,3892.59925
180,181,2,3882.59925
181,182,2,3947.59925
182,183,2,3662.59925
183,184,2,3702.59925
184,185,2,3737.57925
185,186,2,3607.57925
186,187,2,3627.57925
187,188,2,3727.57925
188,189,2,3552.5795
189,190,2,3677.5795
190,191,2,3677.5795
191,192,2,3787.5795
192,193,2,3777.5795
193,194,2,3735.6025
194,195,2,3826.6275
195,196,2,3826.6275
196,197,2,3806.6275
197,198,2,3961.6275
198,199,2,4036.6275
199,200,2,4146.6275000000005
200,201,2,4286.6275000000005
201,202,2,4416.6272500000005
202,203,2,4378.400250000001
203,204,2,4410.900250000001
204,205,2,4370.900250000001
205,206,2,4465.150250000001
206,207,2,4490.150250000001
207,208,2,4470.150250000001
208,209,2,4460.150250000001
209,210,2,4627.77025
210,211,2,4657.77025
211,212,2,4727.77025
212,213,2,4726.19775
213,214,2,4756.19775
214,215,2,4696.19775
215,216,2,4806.82275
216,217,2,4806.82275
217,218,2,4571.11275
218,219,2,4614.28275
219,220,2,4584.28275
220,221,2,4801.784
221,222,2,4662.009
222,223,2,4642.009
223,224,2,4642.00925
224,225,2,4542.00925
225,226,2,4542.00925
226,227,2,4522.00925
227,228,2,4512.009
228,229,2,4531.683999999999
229,230,2,4416.683999999999
230,231,2,4472.433999999999
231,232,2,4432.433999999999
232,233,2,4442.433999999999
233,234,2,4551.0235
234,235,2,4499.9985
235,236,2,4519.9985
236,237,2,4803.5735
237,238,2,5132.5285
238,239,2,5077.528499999999
239,240,2,5077.5285
240,241,2,4907.528499999999
241,242,2,4797.5287499999995
242,243,2,4832.5289999999995
243,244,2,4677.529
244,245,2,4728.148999999999
245,246,2,4603.899
246,247,2,4453.898999999999
247,248,2,4453.898999999999
248,249,2,4427.824
249,250,2,4155.204
250,251,2,4155.204
251,252,2,4477.31425
252,253,2,4547.31425
253,254,2,4893.12425
254,255,2,4993.12425
255,256,2,4802.49925
256,257,2,4712.49925
257,258,2,4745.54925
258,259,2,4591.67925
259,260,2,4771.67875
260,261,2,4997.2125
261,262,2,4901.9875
262,263,2,4911.9875
263,264,2,5024.04225
264,265,2,4974.04225
265,266,2,5347.55225
266,267,2,5329.17725
267,268,2,5450.4125
268,269,2,5295.7375
269,270,2,5395.737499999999
270,271,2,5351.407499999999
271,272,2,5484.3075
272,273,2,5604.3075
273,274,2,5297.695
274,275,2,5247.695
275,276,2,5408.615
276,277,2,5245.039999999999
277,278,2,4813.344999999999
278,279,2,4905.115
279,280,2,5037.585000000001
280,281,2,5402.675
281,282,2,5382.675
282,283,2,5456.29975
283,284,2,5569.24475
284,285,2,5398.62475
285,286,2,5348.62475
286,287,2,5428.62475
287,288,2,5448.62475
288,289,2,5384.69975
289,290,2,5514.69975
290,291,2,5716.65475
291,292,2,5344.544499999999
292,293,2,5284.5445
293,294,2,4989.372
294,295,2,4959.372
295,296,2,5093.181999999999
296,297,2,5283.182
297,298,2,5624.637
298,299,2,5735.337
299,300,2,5575.3375
300,301,2,5222.302750000001
301,302,2,5232.30275
302,303,2,5314.98525
303,304,2,5132.930249999999
304,305,2,5242.927750000001
305,306,2,4899.41775
306,307,2,5009.77275
307,308,2,5221.660249999999
308,309,2,5411.66025
309,310,2,5396.92775
310,311,2,5550.68275
311,312,2,5477.78275
312,313,2,5417.783
313,314,2,5636.8855
314,315,2,5636.885499999999
315,316,2,5545.96575
316,317,2,5425.96575
317,318,2,5383.70575
318,319,2,5331.93575
319,320,2,5317.79825
320,321,2,4983.12825
321,322,2,5058.12825
322,323,2,4924.50325
323,324,2,5257.813250000001
324,325,2,5227.81325
325,326,2,5237.813250000001
326,327,2,5117.81325
327,328,2,5097.813250000001
328,329,2,5117.81325
329,330,2,5018.65825
330,331,2,5031.7035000000005
331,332,2,5001.7035000000005
332,333,2,4981.7035000000005
333,334,2,4941.066000000001
334,335,2,4961.066000000001
335,336,2,4873.856
336,337,2,5166.2660000000005
337,338,2,4652.191000000001
338,339,2,4632.19075
339,340,2,4672.19075
340,341,2,4622.1905
341,342,2,4602.1905
342,343,2,4589.508
343,344,2,4649.50775
344,345,2,4559.510249999999
345,346,2,4569.67275
346,347,2,4527.693
347,348,2,4469.1255
348,349,2,4319.1255
349,350,2,4368.858
350,351,2,4362.698
351,352,2,4242.697999999999
352,353,2,4327.52975
353,354,2,4138.427250000001
354,355,2,4208.427000000001
355,356,2,4138.4267500000005
356,357,2,4158.4267500000005
357,358,2,4138.4267500000005
358,359,2,4278.4267500000005
359,360,2,4229.55925
360,361,2,4410.08175
361,362,2,4355.08175
362,363,2,4355.08175
363,364,2,4091.77675
364,365,2,4341.77675
365,366,2,4281.77675
366,367,2,4351.77675
367,368,2,4436.77675
368,369,2,4547.97425
369,370,2,4577.128750000001
370,371,2,4434.311
371,372,2,4504.311
372,373,2,4596.201
373,374,2,4566.7685
374,375,2,4626.7685
375,376,2,4764.955
376,377,2,4362.545
377,378,2,4332.545
378,379,2,4272.54525
379,380,2,4265.090249999999
380,381,2,4315.09025
