,Date,CementType,Quantity In Quintal
0,1,0,1200.0
1,2,0,1000.0
2,3,0,2866.6666666666665
3,4,0,4100.0
4,5,0,3360.0
5,6,0,2866.6666666666665
6,7,0,2514.285714285714
7,8,0,2275.0
8,9,0,2133.3333333333335
9,10,0,1940.0
10,11,0,1800.0
11,12,0,1683.3333333333333
12,13,0,1584.6153846153845
13,14,0,1500.0
14,15,0,1813.3333333333333
15,16,0,1737.5
16,17,0,1670.5882352941176
17,18,0,1600.0
18,19,0,1578.9473684210527
19,20,0,1520.0
20,21,0,1704.7619047619048
21,22,0,1645.4545454545455
22,23,0,1591.304347826087
23,24,0,1575.0
24,25,0,1528.0
25,26,0,1476.923076923077
26,27,0,1437.037037037037
27,28,0,1414.2857142857142
28,29,0,1717.2413793103449
29,30,0,1680.0
30,31,0,1638.7096774193549
31,32,0,1600.0
32,33,0,1569.6969696969697
33,34,0,1582.3529411764705
34,35,0,1560.0
35,36,0,1550.0
36,37,0,1518.918918918919
37,38,0,1742.1052631578948
38,39,0,1707.6923076923076
39,40,0,1775.0
40,41,0,1775.0
41,42,0,1885.0
42,43,0,1895.0
43,44,0,1750.0
44,45,0,1605.0
45,46,0,1865.0
46,47,0,2105.0
47,48,0,2115.0
48,49,0,2110.0
49,50,0,2105.0
50,51,0,2110.0
51,52,0,2105.0
52,53,0,2115.0
53,54,0,2115.0
54,55,0,2130.0
55,56,0,1985.0
56,57,0,1980.0
57,58,0,1995.0
58,59,0,2245.0
59,60,0,2285.0
60,61,0,2305.0
61,62,0,2228.0
62,63,0,2238.0
63,64,0,2253.0
64,65,0,2243.0
65,66,0,2323.0
66,67,0,2338.0
67,68,0,2358.0
68,69,0,2378.0
69,70,0,2128.0
70,71,0,2128.0
71,72,0,2128.0
72,73,0,2140.0
73,74,0,2155.0
74,75,0,2115.0
75,76,0,2100.0
76,77,0,2080.0
77,78,0,2090.0
78,79,0,1850.0
79,80,0,1855.0
80,81,0,1765.0
81,82,0,1645.0
82,83,0,1630.0
83,84,0,1620.0
84,85,0,1600.0
85,86,0,1340.0
86,87,0,1100.0
87,88,0,1090.0
88,89,0,1090.0
89,90,0,1320.0
90,91,0,1325.0
91,92,0,1335.0
92,93,0,1325.0
93,94,0,1320.0
94,95,0,1305.0
95,96,0,1325.0
96,97,0,1335.0
97,98,0,1310.0
98,99,0,1100.0
99,100,0,1280.0
100,101,0,1255.0
101,102,0,1217.0
102,103,0,1212.0
103,104,0,1197.0
104,105,0,1232.0
105,106,0,1152.0
106,107,0,1152.0
107,108,0,1142.0
108,109,0,1122.0
109,110,0,1127.0
110,111,0,1122.0
111,112,0,1132.0
112,113,0,1130.0
113,114,0,1150.0
114,115,0,1150.0
115,116,0,1155.0
116,117,0,1165.0
117,118,0,1155.0
118,119,0,1205.0
119,120,0,1200.0
120,121,0,1430.0
121,122,0,1415.0
122,123,0,1410.0
123,124,0,1555.0
124,125,0,1545.0
125,126,0,1595.0
126,127,0,1595.0
127,128,0,1595.0
128,129,0,1590.0
129,130,0,1355.0
130,131,0,1360.0
131,132,0,1355.0
132,133,0,1415.0
133,134,0,1420.0
134,135,0,1415.0
135,136,0,1635.0
136,137,0,1630.0
137,138,0,1665.0
138,139,0,1625.0
139,140,0,1390.0
140,141,0,1395.0
141,142,0,1385.0
142,143,0,1380.0
143,144,0,1525.0
144,145,0,1550.0
145,146,0,1550.0
146,147,0,1540.0
147,148,0,1770.0
148,149,0,1760.0
149,150,0,1770.0
150,151,0,1770.0
151,152,0,1760.0
152,153,0,1750.0
153,154,0,1740.0
154,155,0,2000.0
155,156,0,2000.0
156,157,0,1990.0
157,158,0,2000.0
158,159,0,1960.0
159,160,0,1960.0
160,161,0,1715.0
161,162,0,1720.0
162,163,0,1730.0
163,164,0,1585.0
164,165,0,1585.0
165,166,0,1695.0
166,167,0,1785.0
167,168,0,1785.0
168,169,0,1800.0
169,170,0,1795.0
170,171,0,1785.0
171,172,0,1815.0
172,173,0,1765.0
173,174,0,1765.0
174,175,0,1810.0
175,176,0,1600.0
176,177,0,2000.0
177,178,0,1980.0
178,179,0,1980.0
179,180,0,1975.0
180,181,0,1975.0
181,182,0,1995.0
182,183,0,2000.0
183,184,0,1980.0
184,185,0,1905.0
185,186,0,1900.0
186,187,0,1920.0
187,188,0,1920.0
188,189,0,2000.0
189,190,0,1990.0
190,191,0,2000.0
191,192,0,1995.0
192,193,0,2045.0
193,194,0,2035.0
194,195,0,1775.0
195,196,0,1830.0
196,197,0,1830.0
197,198,0,1820.0
198,199,0,1810.0
199,200,0,1810.0
200,201,0,1810.0
201,202,0,2050.0
202,203,0,2040.0
203,204,0,2065.0
204,205,0,2065.0
205,206,0,1903.75
206,207,0,1890.0
207,208,0,1885.0
208,209,0,1985.0
209,210,0,1985.0
210,211,0,1980.0
211,212,0,1942.5
212,213,0,1932.5
213,214,0,1932.5
214,215,0,1892.5
215,216,0,1862.5
216,217,0,1527.5
217,218,0,1537.5
218,219,0,1577.5
219,220,0,1596.25
220,221,0,1701.25
221,222,0,1741.25
222,223,0,1746.25
223,224,0,1616.25
224,225,0,1626.25
225,226,0,1691.25
226,227,0,1736.25
227,228,0,1536.25
228,229,0,1466.25
229,230,0,1466.25
230,231,0,1466.25
231,232,0,1471.25
232,233,0,1421.25
233,234,0,1401.25
234,235,0,1401.25
235,236,0,1356.25
236,237,0,1366.25
237,238,0,1361.25
238,239,0,1371.25
239,240,0,1371.25
240,241,0,1376.25
241,242,0,1246.25
242,243,0,1256.25
243,244,0,1231.25
244,245,0,1231.25
245,246,0,1362.5
246,247,0,1321.25
247,248,0,1326.25
248,249,0,1226.25
249,250,0,1410.0
250,251,0,1435.0
251,252,0,1492.5
252,253,0,1512.5
253,254,0,1522.5
254,255,0,1612.5
255,256,0,1622.5
256,257,0,1562.5
257,258,0,1561.25
258,259,0,1551.25
259,260,0,1532.5
260,261,0,1457.5
261,262,0,1407.5
262,263,0,1445.375
263,264,0,1460.375
264,265,0,1495.375
265,266,0,1455.375
266,267,0,1410.375
267,268,0,1380.375
268,269,0,1370.375
269,270,0,1370.375
270,271,0,1360.375
271,272,0,1390.375
272,273,0,1389.125
273,274,0,1387.875
274,275,0,1387.875
275,276,0,1377.875
276,277,0,1367.875
277,278,0,1392.875
278,279,0,1381.625
279,280,0,1391.625
280,281,0,1411.625
281,282,0,1301.625
282,283,0,1291.625
283,284,0,1291.625
284,285,0,1281.625
285,286,0,1161.625
286,287,0,1126.625
287,288,0,1146.625
288,289,0,1136.625
289,290,0,962.875
290,291,0,952.875
291,292,0,902.875
292,293,0,882.875
293,294,0,882.875
294,295,0,792.875
295,296,0,782.875
296,297,0,772.875
297,298,0,754.125
298,299,0,724.125
299,300,0,724.125
300,301,0,694.125
301,302,0,724.125
302,303,0,676.25
303,304,0,666.25
304,305,0,626.25
305,306,0,616.25
306,307,0,598.375
307,308,0,588.375
308,309,0,598.375
309,310,0,598.375
310,311,0,598.375
311,312,0,563.375
312,313,0,574.625
313,314,0,591.375
314,315,0,591.375
315,316,0,701.375
316,317,0,731.375
317,318,0,711.375
318,319,0,712.625
319,320,0,702.625
320,321,0,682.625
321,322,0,682.625
322,323,0,682.625
323,324,0,682.625
324,325,0,682.625
325,326,0,672.625
326,327,0,682.625
327,328,0,712.625
328,329,0,722.625
329,330,0,712.625
330,331,0,702.625
331,332,0,702.625
332,333,0,702.625
333,334,0,702.625
334,335,0,702.625
335,336,0,720.125
336,337,0,730.125
337,338,0,727.625
338,339,0,727.625
339,340,0,726.375
340,341,0,721.375
341,342,0,680.125
342,343,0,715.125
343,344,0,715.3
344,345,0,715.3
345,346,0,715.3
346,347,0,753.175
347,348,0,803.175
348,349,0,793.175
349,350,0,790.675
350,351,0,783.925
351,352,0,781.425
352,353,0,801.425
353,354,0,795.925
354,355,0,795.925
355,356,0,725.925
356,357,0,715.925
357,358,0,715.925
358,359,0,715.925
359,360,0,725.925
360,361,0,725.925
361,362,0,753.425
362,363,0,792.175
363,364,0,802.175
364,365,0,802.175
365,366,0,822.175
366,367,0,946.95
367,368,0,896.95
368,369,0,886.95
369,370,0,896.95
370,371,0,896.95
371,372,0,906.95
372,373,0,991.95
373,374,0,1081.95
374,375,0,1106.95
375,376,0,1109.45
376,377,0,1169.45
377,378,0,1286.95
378,379,0,1286.95
379,380,0,1308.2
380,381,0,1306.95
381,382,0,1311.95
382,383,0,1306.95
383,384,0,1346.775
384,385,0,1381.775
385,386,0,1371.775
386,387,0,1341.775
387,388,0,1330.525
388,389,0,1325.525
389,390,0,1378.025
390,391,0,1393.525
391,392,0,1401.025
392,393,0,1381.025
393,394,0,1416.025
394,395,0,1656.025
395,396,0,1611.025
396,397,0,1591.025
397,398,0,1612.275
398,399,0,1621.025
399,400,0,1606.025
400,401,0,1636.025
401,402,0,1608.525
402,403,0,1619.775
403,404,0,1639.775
404,405,0,1689.775
405,406,0,1684.775
406,407,0,1545.0
407,408,0,1545.0
408,409,0,1545.0
409,410,0,1555.0
410,411,0,1565.0
411,412,0,1605.0
412,413,0,1520.0
413,414,0,1430.0
414,415,0,1405.0
415,416,0,1385.0
416,417,0,1340.0
417,418,0,1325.0
418,419,0,1340.0
419,420,0,1339.675
420,421,0,1345.925
421,422,0,1342.175
422,423,0,1312.175
423,424,0,1272.175
424,425,0,1397.175
425,426,0,1397.175
426,427,0,1387.175
427,428,0,1348.425
428,429,0,1383.425
429,430,0,1343.425
430,431,0,1344.675
431,432,0,1354.675
432,433,0,1369.675
433,434,0,1334.675
434,435,0,1124.675
435,436,0,1139.675
436,437,0,1139.675
437,438,0,1118.425
438,439,0,1109.675
439,440,0,1144.675
440,441,0,1124.675
441,442,0,1124.675
442,443,0,1134.675
443,444,0,1143.425
444,445,0,1128.425
445,446,0,1113.425
446,447,0,1138.425
447,448,0,1178.425
448,449,0,1178.425
449,450,0,1218.425
450,451,0,1228.425
451,452,0,1198.425
452,453,0,1198.425
453,454,0,1188.425
454,455,0,1188.425
455,456,0,1199.925
