Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,Total Price
11/21/2017,PPC-Bag,173.04,400,40,25,69216
11/21/2017,PPC-Bag,173.04,400,40,25,69216
11/21/2017,PPC-Bag,173.04,400,40,23,69216
11/23/2017,OPC-Bag,230.43,200,20,25,46086
11/23/2017,OPC-Bag,230.43,1600,160,22,368688
11/24/2017,OPC-Bag,243.48,1200,120,110,292176
11/24/2017,PPC-Bag,173.04,800,80,55,138432
11/24/2017,OPC-Bulk,221.73,400,40,0,88692
11/25/2017,PPC-Bag,230.43,1600,160,80,368688
11/25/2017,OPC-Bag,230.43,200,20,25,46086
11/25/2017,PPC-Bag,173.04,5000,500,25,865200
11/25/2017,OPC-Bag,230.43,400,40,30,92172
11/27/2017,PPC-Bag,173.04,400,40,45,69216
11/27/2017,OPC-Bag,237.73,400,40,70,95092
11/27/2017,PPC-Bag,173.04,400,40,65,69216
11/27/2017,PPC-Bag,173.04,5000,500,25,865200
11/27/2017,PPC-Bag,173.04,2000,200,65,346080
11/27/2017,OPC-Bag,230.43,200,20,25,46086
11/27/2017,OPC-Bag,230.43,400,40,25,92172
11/28/2017,OPC-Bag,230.43,800,80,80,184344
11/28/2017,OPC-Bag,230.43,400,40,75,92172
11/28/2017,PPC-Bag,173.04,400,40,23,69216
11/29/2017,OPC-Bag,230.43,400,40,25,92172
12/1/2017,OPC-Bag,230.43,800,80,25,184344
12/1/2017,PPC-Bag,191.3,400,40,95,76520
12/1/2017,OPC-Bag,230.43,400,40,95,92172
12/2/2017,OPC-Bag,243.47,4800,480,110,1168656
12/2/2017,PPC-Bag,173.04,400,40,45,69216
12/4/2017,PPC-Bag,173.04,200,20,25,34608
12/4/2017,OPC-Bag,230.43,400,40,30,92172
12/4/2017,PPC-Bag,173.04,400,40,23,69216
12/5/2017,OPC-Bag,237.39,400,40,70,94956
12/5/2017,OPC-Bag,237.39,400,40,70,94956
12/6/2017,OPC-Bag,230.43,400,40,23,92172
12/6/2017,PPC-Bag,173.04,400,40,23,69216
12/6/2017,PPC-Bag,173.04,400,40,30,69216
12/6/2017,PPC-Bag,173.04,200,20,25,34608
12/7/2017,PPC-Bag,173.04,200,20,27,34608
12/7/2017,OPC-Bag,230.43,400,40,25,92172
12/7/2017,OPC-Bag,230.43,800,80,30,184344
12/8/2017,PPC-Bag,173.04,400,40,23,69216
12/9/2017,OPC-Bag,237.4,2000,200,23,474800
12/9/2017,OPC-Bag,230.43,400,40,23,92172
12/9/2017,PPC-Bag,173.04,400,40,23,69216
12/11/2017,PPC-Bag,173.04,400,40,28,69216
12/12/2017,OPC-Bag,230.43,400,40,95,92172
12/13/2017,OPC-Bag,237.39,400,40,80,94956
12/14/2017,OPC-Bag,230.43,400,40,23,92172
12/15/2017,PPC-Bag,173.04,400,40,23,69216
12/15/2017,OPC-Bulk,221.74,1600,160,25,354784
12/19/2017,PPC-Bag,173.04,4800,480,25,830592
12/19/2017,PPC-Bag,173.04,200,20,25,34608
12/19/2017,OPC-Bag,230.43,200,20,25,46086
12/19/2017,PPC-Bag,173.04,400,40,21,69216
12/19/2017,PPC-Bag,173.04,400,40,23,69216
12/19/2017,PPC-Bag,173.04,400,40,25,69216
12/19/2017,OPC-Bag,230.43,800,80,80,184344
12/21/2017,OPC-Bag,230.43,1200,120,90,276516
12/21/2017,PPC-Bag,173.04,400,40,35,69216
12/21/2017,OPC-Bulk,221.74,400,40,30,88696
12/21/2017,PPC-Bag,173.04,200,20,25,34608
12/22/2017,PPC-Bag,173.04,200,20,25,34608
12/22/2017,PPC-Bag,173.04,400,40,28,69216
12/22/2017,OPC-Bag,230.43,400,40,95,92172
12/25/2017,OPC-Bag,230.43,200,20,25,46086
12/25/2017,OPC-Bag,230.43,200,20,25,46086
12/26/2017,PPC-Bag,173.04,400,40,25,69216
12/26/2017,OPC-Bag,230.43,350,35,23,80650.5
12/26/2017,OPC-Bag,173.04,200,20,25,34608
12/27/2017,OPC-Bag,233.04,10000,1000,25,2330400
12/27/2017,PPC-Bag,173.04,1200,120,25,207648
12/28/2017,PPC-Bag,173.04,400,40,30,69216
12/28/2017,OPC-Bag,230.43,400,40,25,92172
12/28/2017,OPC-Bag,230.43,400,40,95,92172
12/29/2017,PPC-Bag,173.04,400,40,23,69216
12/29/2017,PPC-Bag,173.04,4800,480,25,830592
12/29/2017,PPC-Bag,173.04,200,20,25,34608
12/29/2017,OPC-Bag,230.43,200,20,25,46086
12/30/2017,PPC-Bag,173.04,400,40,23,69216
1/1/2018,OPC-Bag,230.43,400,40,23,92172
1/1/2018,OPC-Bag,230.43,400,40,23,92172
1/2/2018,OPC-Bag,230.43,400,40,23,92172
1/2/2018,OPC-Bag,230.43,1600,160,22,368688
1/2/2018,OPC-Bag,230.43,1600,160,22,368688
1/3/2018,OPC-Bag,230.43,200,20,25,46086
1/3/2018,PPC-Bag,173.04,400,40,23,69216
1/3/2018,OPC-Bag,230.43,800,80,80,184344
1/3/2018,OPC-Bag,230.43,400,40,95,92172
1/3/2018,OPC-Bag,230.43,400,40,75,92172
1/4/2018,PPC-Bag,173.04,400,40,23,69216
1/4/2018,PPC-Bag,173.04,800,80,23,138432
1/5/2018,OPC-Bag,233.04,400,40,23,93216
1/8/2018,PPC-Bag,173.04,400,40,23,69216
1/9/2018,PPC-Bag,173.04,200,20,25,34608
1/11/2018,OPC-Bag,230.43,400,40,40,92172
1/11/2018,OPC-Bag,230.43,400,40,23,92172
1/11/2018,OPC-Bag,230.43,800,80,45,184344
1/11/2018,PPC-Bag,173.04,400,40,23,69216
1/11/2018,OPC-Bag,237.39,800,80,70,189912
1/12/2018,OPC-Bag,230.43,400,40,23,92172
1/12/2018,OPC-Bag,230.43,200,20,25,46086
1/13/2018,OPC-Bag,230.43,400,40,30,92172
1/15/2018,PPC-Bag,173.04,400,40,25,69216
1/15/2018,PPC-Bag,173.04,400,40,25,69216
1/15/2018,OPC-Bag,230.43,400,40,45,92172
1/15/2018,OPC-Bulk,221.74,800,80,30,177392
1/15/2018,OPC-Bag,230.43,400,40,23,92172
1/16/2018,OPC-Bag,230.43,400,40,25,92172
1/16/2018,OPC-Bag,230.43,400,40,23,92172
1/16/2018,OPC-Bulk,221.74,400,40,28,88696
1/16/2018,OPC-Bag,230.43,800,80,95,184344
1/17/2018,PPC-Bag,173.04,200,20,25,34608
1/17/2018,PPC-Bag,173.04,10000,1000,25,1730400
1/18/2018,PPC-Bag,173.04,200,20,25,34608
1/18/2018,PPC-Bag,173.04,400,40,25,69216
1/18/2018,OPC-Bag,230.43,200,20,25,46086
1/20/2018,PPC-Bag,173.04,400,40,25,69216
1/22/2018,PPC-Bag,173.04,400,40,23,69216
1/23/2018,PPC-Bag,173.04,400,40,35,69216
1/23/2018,PPC-Bag,173.04,200,20,25,34608
1/23/2018,OPC-Bag,230.43,400,40,23,92172
1/23/2018,OPC-Bulk,221.74,800,80,25,177392
1/24/2018,PPC-Bag,173.04,2000,200,23,346080
1/25/2018,OPC-Bag,230.43,1200,120,70,276516
1/25/2018,OPC-Bag,233.04,1200,120,25,279648
1/25/2018,PPC-Bag,173.04,400,40,25,69216
1/25/2018,PPC-Bag,173.04,400,40,23,69216
1/25/2018,OPC-Bag,230.43,800,80,80,184344
1/25/2018,OPC-Bag,230.43,400,40,95,92172
1/26/2018,PPC-Bag,173.04,400,40,25,69216
1/26/2018,OPC-Bag,233.04,6000,600,23,1398240
1/26/2018,PPC-Bag,173.04,800,80,23,138432
1/29/2018,OPC-Bag,230.43,400,40,25,92172
1/29/2018,PPC-Bag,173.04,400,40,25,69216
1/30/2018,PPC-Bag,173.04,10000,1000,25,1730400
1/31/2018,PPC-Bag,173.04,400,40,22,69216
1/31/2018,OPC-Bag,230.43,200,20,25,46086
2/1/2018,PPC-Bag,173.04,400,40,23,69216
2/1/2018,PPC-Bag,173.04,400,40,22,69216
2/1/2018,PPC-Bag,173.04,1200,120,63,207648
2/1/2018,PPC-Bag,173.04,2400,240,65,415296
2/2/2018,OPC-Bag,233.04,1600,160,25,372864
2/2/2018,PPC-Bag,173.04,2800,280,25,484512
2/2/2018,PPC-Bag,173.04,400,40,65,69216
2/2/2018,OPC-Bag,233.04,1200,120,45,279648
2/2/2018,PPC-Bag,173.04,1200,120,45,207648
2/2/2018,OPC-Bag,233.04,2800,280,80,652512
2/2/2018,PPC-Bag,173.04,1200,120,80,207648
2/3/2018,OPC-Bag,230.43,1200,120,45,276516
2/3/2018,PPC-Bag,173.04,400,40,23,69216
2/3/2018,PPC-Bag,173.04,400,40,30,69216
2/3/2018,PPC-Bag,173.04,400,40,23,69216
2/3/2018,OPC-Bag,230.43,400,40,27,92172
2/5/2018,PPC-Bag,173.04,400,40,25,69216
2/5/2018,PPC-Bag,173.04,400,40,23,69216
2/6/2018,OPC-Bag,237.39,800,80,70,189912
2/6/2018,OPC-Bag,230.43,1200,120,90,276516
2/6/2018,PPC-Bag,173.04,1200,120,90,207648
2/6/2018,PPC-Bag,173.04,400,40,25,69216
2/6/2018,PPC-Bag,173.04,400,40,23,69216
2/8/2018,OPC-Bag,247.83,800,80,28,198264
2/8/2018,PPC-Bag,173.04,400,40,28,69216
2/8/2018,OPC-Bag,247.83,400,40,28,99132
2/8/2018,PPC-Bag,173.04,400,40,30,69216
2/8/2018,PPC-Bag,173.04,10000,1000,25,1730400
2/8/2018,OPC-Bulk,221.74,1200,120,25,266088
2/14/2018,OPC-Bulk,221.74,800,80,28,177392
2/14/2018,OPC-Bag,230.43,1600,160,22,368688
2/15/2018,PPC-Bag,173.04,10000,1000,25,1730400
2/21/2018,PPC-Bag,173.04,400,40,30,69216
2/21/2018,PPC-Bag,173.04,400,40,25,69216
2/22/2018,OPC-Bag,230.43,400,40,23,92172
2/24/2018,PPC-Bag,173.04,400,40,25,69216
2/26/2018,PPC-Bag,173.04,400,40,25,69216
2/26/2018,PPC-Bag,173.04,400,40,25,69216
2/27/2018,PPC-Bag,173.04,400,40,27,69216
2/27/2018,OPC-Bag,230.43,400,40,25,92172
2/28/2018,PPC-Bag,173.04,200,20,27,34608
2/28/2018,OPC-Bag,230.43,400,40,75,92172
2/28/2018,OPC-Bag,230.43,800,80,95,184344
2/28/2018,OPC-Bag,230.43,400,40,95,92172
2/28/2018,OPC-Bag,230.43,800,80,80,184344
2/28/2018,OPC-Bag,230.43,400,40,25,92172
3/1/2018,PPC-Bag,173.04,400,40,30,69216
3/1/2018,PPC-Bag,173.04,400,40,23,69216
3/5/2018,PPC-Bag,173.04,400,40,30,69216
3/8/2018,PPC-Bag,173.04,200,20,30,34608
3/8/2018,PPC-Bag,173.04,800,80,35,138432
3/8/2018,OPC-Bulk,221.74,400,40,30,88696
3/9/2018,OPC-Bag,237.39,2000,200,27,474780
3/9/2018,OPC-Bag,230.43,800,80,28,184344
3/9/2018,OPC-Bag,230.43,400,40,30,92172
3/9/2018,PPC-Bag,173.04,400,40,27,69216
3/10/2018,OPC-Bag,230.43,200,20,27,46086
3/10/2018,PPC-Bag,173.04,400,40,27,69216
3/12/2018,OPC-Bulk,221.74,400,40,30,88696
3/12/2018,PPC-Bag,173.04,200,20,35,34608
